code,name_english,name_pinyin,category,location_note,function_note
GB3,Upper Guest,Shangguan,Meeting GB/ST/TR,Superior border of zygomatic arch,Headache; deafness; toothache
GB4,Jaw Serenity,Hanyan,-,Within hairline temporal region,Migraine; tinnitus
GB5,Suspended Skull,Xuanlu,-,Midway between ST8 and GB7,Migraine; facial swelling
GB6,Suspended Li,Xuanli,-,Posterior to GB5,Migraine; tinnitus
GB7,Crook of the Temple,Qubin,-,Crossing point of horizontal ear line/hairline,Migraine; lockjaw
GB8,Leading Valley,Shuaigu,Meeting GB/BL,1.5 cun superior to ear apex,Migraine (Vertex); vertigo
GB9,Heavenly Rushing,Tianchong,-,0.5 cun posterior to GB8,Headache; epilepsy
GB10,Floating White,Fubai,-,Posterior/inferior to GB9,Headache; tinnitus
GB11,Head Portal Yin,Touqiaoyin,-,Posterior/inferior to GB10,Headache; stiff neck
GB12,Mastoid Process,Wangu,-,Posterior/inferior to mastoid,Insomnia; headache
GB13,Root of the Spirit,Benshen,Meeting GB/Yang Wei,0.5 cun within hairline (lat to midline),Calms spirit; epilepsy
GB14,Yang White,Yangbai,Meeting GB/Yang Wei,1 cun above eyebrow mid-pupil,Benefits eyes; facial paralysis; headache
GB15,Head Governor of Tears,Toulinqi,-,Directly above GB14 within hairline,Nasal congestion; eye pain
GB16,Window of the Eye,Muchuang,-,1 cun posterior to GB15,Eye pain; facial edema
GB17,Upright Nutrition,Zhengying,-,1 cun posterior to GB16,Migraine; visual dizziness
GB18,Support Spirit,Chengling,-,1.5 cun posterior to GB17,Nasal congestion; epistaxis
GB19,Brain Hollow,Naokong,-,1.5 cun posterior to GB18,Headache; stiff neck
GB20,Wind Pool,Fengchi,Meeting GB/TR/Yang Wei,Depression between SCM and Trapezius,Expels Wind (Int/Ext); benefits eyes; headache (Major point)
GB21,Shoulder Well,Jianjing,Meeting GB/TE/ST/Yang Wei,Midway clavicle/scapula spine,Descends Qi (contraindicated pregnancy); neck/shoulder pain
GB22,Armpit Abyss,Yuanye,-,3 cun below axilla mid-axillary,Rib pain; armpit swelling
GB23,Flank Ribs,Zhejin,-,1 cun anterior to GB22,Acid reflux; asthma
GB24,Sun and Moon,Riyue,Front-Mu of GB,7th intercostal space (nipple line),Clears GB damp-heat; gallstones
GB25,Capital Gate,Jingmen,Front-Mu of Kidney,Tip of 12th rib,Tonifies Kidney; regulates water
GB26,Girdling Vessel,Daimai,Meeting GB/Dai Mai,Level with umbilicus at free end of 11th rib,Regulates Dai Mai; leukorrhea; menses
GB27,Five Pivots,Wushu,-,Anterior to ASIS,Leukorrhea; hernia
GB28,Linking Path,Weidao,-,0.5 cun anterior/inferior to GB27,Leukorrhea; lower ab pain
GB29,Squatting Bone,Juliao,Meeting GB/Yang Qiao,Midway ASIS and trochanter,Hip pain; sciatica
GB30,Jumping Circle,Huantiao,Meeting GB/BL,Posterior/superior to greater trochanter,Sciatica (Major point); hip pain
GB31,Wind Market,Fengshi,-,Lateral thigh (where middle finger touches),Expels Wind (skin itching); sciatica
GB32,Middle Ditch,Zhongdu,-,2 cun below GB31,Sciatica; hemiplegia
GB33,Knee Yang Gate,Xiyangguan,-,3 cun above GB34,Knee pain
GB34,Yang Mound Spring,Yanglingquan,He-Sea; Earth; Hui-Meeting of Sinews,Anterior/inferior to fibular head,Benefits sinews/joints; clears GB damp-heat; spreads Liver Qi
GB35,Yang Intersection,Yangjiao,Xi-Cleft of Yang Wei,7 cun above lateral malleolus,Hypochondriac pain
GB36,Outer Hill,Waiqiu,Xi-Cleft,7 cun above lateral malleolus (ant to GB35),Rabies detox (ancient); neck pain
GB37,Bright Light,Guangming,Luo-Connecting,5 cun above lateral malleolus,Benefits eyes (Major point); night blindness
GB38,Yang Assistance,Yangfu,Jing-River; Fire,4 cun above lateral malleolus,Clears GB Heat; migraine
GB39,Suspended Bell,Xuanzhong,Hui-Meeting of Marrow,3 cun above lateral malleolus,Benefits marrow/bones; neck stiffness
GB40,Mound of Ruins,Qiuxu,Yuan-Source,Anterior/inferior to lateral malleolus,Spreads Liver Qi; ankle pain
GB41,Foot Governor of Tears,Zulinqi,Shu-Stream; Wood; Opening Dai Mai,Between 4th/5th metatarsals,Migraine; breast pain; regulates Dai Mai
GB42,Earth Five Meetings,Diwuhui,-,Distal to GB41,Tinnitus; breast abscess
GB43,Clamped Stream,Xiaxi,Ying-Spring; Water,Between 4th/5th toes,Clears heat; migraine; dizziness
GB44,Yin Portals of Foot,Zuqiaoyin,Jing-Well; Metal,Lateral corner of 4th toe nail,Clears heat; nightmare; headache
LV1,Great Pile,Dadun,Jing-Well; Wood,Lateral corner of big toe nail,Regulates menses; hernia; revives consciousness
LV2,Walking Between,Xingjian,Ying-Spring; Fire,Between 1st/2nd toes,Clears Liver Fire (Major point); irritability
LV3,Great Rushing,Taichong,Shu-Stream; Yuan-Source; Earth,Between 1st/2nd metatarsals,Spreads Liver Qi; extinguishes wind; calms Shen (Major point)
LV4,Middle Seal,Zhongfeng,Jing-River; Metal,Anterior to medial malleolus,Spreads Liver Qi; genital pain
LV5,Woodworm Canal,Ligou,Luo-Connecting,5 cun above medial malleolus,Treats genitals (itch/discharge); plum pit qi
LV6,Central Metropolis,Zhongdu,Xi-Cleft,7 cun above medial malleolus,Acute hepatitis; uterine bleeding
LV7,Knee Guan,Xiguan,-,Posterior/inferior to SP9,Knee pain
LV8,Spring at the Crook,Ququan,He-Sea; Water,Medial end of popliteal crease,Nourishes Liver Blood/Yin; genital issues
LV9,Yin Wrapping,Yinbao,-,4 cun above medial epicondyle,Menses; urination
LV10,Leg Five Miles,Zuwuli,-,3 cun below ST30,Urinary retention; sleepy
LV11,Yin Angle,Yinlian,-,2 cun below ST30,Infertility; leg pain
LV12,Urgent Pulse,Jimai,-,2.5 cun lateral to scrotal base,Hernia; genital pain
LV13,Completion Gate,Zhangmen,Front-Mu of Spleen; Hui-Meeting of Zang,Tip of 11th rib,Harmonizes Liver/Spleen; accumulation
LV14,Cycle Gate,Qimen,Front-Mu of Liver,6th intercostal space (nipple line),Spreads Liver Qi; harmonizes Liver/Stomach
CV1,Meeting of Yin,Huiyin,Meeting of Ren/Du/Chong,Perineum,Revives drowning; genital issues
CV2,Curved Bone,Qugu,Meeting Ren/LV,Pubic symphysis upper border,Urination; leukorrhea
CV3,Central Pole,Zhongji,Front-Mu of Bladder,4 cun below umbilicus,Regulates Bladder/Uterus; damp-heat
CV4,Gate of Origin,Guanyuan,Front-Mu of SI; Meeting Ren/SP/LV/KI,3 cun below umbilicus,Tonifies Qi/Yang/Blood/Essence (Major point)
CV5,Stone Gate,Shimen,Front-Mu of TE,2 cun below umbilicus,Water passages; contraception (ancient)
CV6,Sea of Qi,Qihai,-,1.5 cun below umbilicus,Tonifies Qi/Yang; collapses
CV7,Yin Intersection,Yinjiao,Meeting Ren/Chong/KI,1 cun below umbilicus,Menses; hernia
CV8,Spirit Gateway,Shenque,-,Center of umbilicus,Rescue Yang (Salt Moxa only); diarrhea
CV9,Water Separation,Shuifen,-,1 cun above umbilicus,Regulates water passages; edema
CV10,Lower Venter,Xiawan,Meeting Ren/SP,2 cun above umbilicus,Food stagnation
CV11,Building Up the Interior,Jianli,-,3 cun above umbilicus,Harmonizes stomach
CV12,Middle Venter,Zhongwan,Front-Mu of Stomach; Hui-Meeting of Fu,4 cun above umbilicus,Tonifies Stomach/Spleen; resolves damp
CV13,Upper Venter,Shangwan,Meeting Ren/ST/SI,5 cun above umbilicus,Nausea; stomach pain
CV14,Great Gateway,Juque,Front-Mu of Heart,6 cun above umbilicus,Calms Spirit; regulates Heart
CV15,Turtledove Tail,Jiuwei,Luo-Connecting,Below xiphoid process,Calms Spirit (manic); epilepsy
CV16,Central Courtyard,Zhongting,-,Level with 5th intercostal space,Chest fullness
CV17,Chest Center,Danzhong,Front-Mu of PC; Hui-Meeting of Qi,Level with 4th intercostal space,Tonifies Qi; benefits breasts/lactation
CV18,Jade Hall,Yutang,-,Level with 3rd intercostal space,Cough; chest pain
CV19,Purple Palace,Zigong,-,Level with 2nd intercostal space,Cough; chest pain
CV20,Florid Canopy,Huagai,-,Level with 1st intercostal space,Asthma; cough
CV21,Jade Pivot,Xuanji,-,Manubrium midline,Throat obstruction; cough
CV22,Heavenly Chimney,Tiantu,Window of Heaven,Suprasternal fossa,Descends Lung Qi; benefits throat (plum pit)
CV23,Ridge Spring,Lianquan,-,Superior to laryngeal prominence,Speech; tongue issues; swallowing
CV24,Container of Fluids,Chengjiang,Meeting Ren/ST,Mentolabial groove,Facial paralysis; dental pain
GV1,Long Strong,Changqiang,Luo-Connecting; Meeting Du/GB/KI,Midway coccyx/anus,Hemorrhoids; mania
GV2,Lumbar Shu,Yaoshu,-,Sacral hiatus,Epilepsy; lumbar pain
GV3,Lumbar Yang Pass,Yaoyangguan,-,Below L4 spinous process,Lumbar pain; weak legs
GV4,Life Gate,Mingmen,-,Below L2 spinous process,Tonifies Kidney Yang (Major point); warms gate of vitality
GV5,Suspended Pivot,Xuanshu,-,Below L1 spinous process,Diarrhea; stiff back
GV6,Spinal Center,Jizhong,-,Below T11 spinous process,Jaundice; epilepsy
GV7,Central Pivot,Zhongshu,-,Below T10 spinous process,Back pain; vision
GV8,Sinew Contraction,Jinsuo,-,Below T9 spinous process,Liver wind; spasms
GV9,Supreme Yang,Zhiyang,-,Below T7 spinous process,Jaundice; unbinds chest/diaphragm
GV10,Spirit Tower,Lingtai,-,Below T6 spinous process,Boils (empiric); cough
GV11,Spirit Path,Shendao,-,Below T5 spinous process,Calms spirit; heart conditions
GV12,Body Pillar,Shenzhu,-,Below T3 spinous process,Calms spirit; lung heat
GV13,Way of Happiness,Taodao,Meeting Du/BL,Below T1 spinous process,Clears heat; malaria
GV14,Great Vertebra,Dazhui,Meeting of all Yang channels,Below C7 spinous process,Clears Heat (all types); releases exterior; tonifies Yang
GV15,Mute's Gate,Yamen,Window of Heaven; Meeting Du/Yang Wei,0.5 cun within hairline (neck),Speech difficulties; clears mind
GV16,Wind Palace,Fengfu,Window of Heaven; Meeting Du/Yang Wei,1 cun within hairline (neck),Expels Wind (Int/Ext); stroke
GV17,Brain Door,Naohu,Meeting Du/BL,1.5 cun above GV16,Dizziness; neck pain
GV18,Strong Interspace,Qiangjian,-,1.5 cun above GV17,Headache; stiff neck
GV19,Posterior Vertex,Houding,-,1.5 cun above GV18,Headache; mania
GV20,Hundred Meetings,Baihui,Meeting Du/BL/GB/TE/LV,Vertex of head (midpoint ears),Raises Yang; calms spirit; clears senses
GV21,Anterior Vertex,Qianding,-,1.5 cun anterior to GV20,Headache; dizziness
GV22,Fontanelle Meeting,Xinhui,-,2 cun posterior to hairline,Headache; nasal issues
GV23,Upper Star,Shangxing,-,1 cun posterior to hairline,Nasal congestion; nosebleed
GV24,Courtyard of the Spirit,Shenting,Meeting Du/ST/BL,0.5 cun posterior to hairline,Calms Spirit; insomnia; anxiety
GV25,White Crevice,Suliao,-,Tip of nose,Rescues consciousness; nosebleed
GV26,Man's Middle,Renzhong,Meeting Du/LI/ST,Philtrum (upper 1/3),Rescues consciousness (shock/fainting); acute back pain
GV27,Extremity of the Mouth,Duiduan,-,Upper lip tubercle,Mouth ulcers; mental issues
GV28,Gum Intersection,Yinjiao,Meeting Du/Ren/ST,Inside upper lip frenulum,Gum issues; hemorrhoids
