question,answer,acupuncture_points,pharmacopeia
How does TCM treat male infertility and low sperm count?,"Kidney Essence Deficiency. Tonify kidney essence, nourish jing, strengthen sperm production, improve fertility.","KI-3 (Taixi), BL-23 (Shenshu), REN-4 (Guanyuan), SP-6 (Sanyinjiao), ST-36 (Zusanli), DU-4 (Mingmen)",Wu Zi Yan Zong Wan (Five-Seed Progeny) plus Zan Yu Dan
What helps andropause symptoms (male menopause)?,"Kidney Yang Deficiency with Qi Deficiency. Tonify kidney yang and qi, restore energy, balance hormones, improve vitality.","ST-36 (Zusanli), KI-3 (Taixi), REN-6 (Qihai), DU-4 (Mingmen), BL-23 (Shenshu), REN-4 (Guanyuan)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Ren Shen Yang Rong Tang
How to treat hair loss in men?,"Kidney Essence and Liver Blood Deficiency. Tonify kidney essence, nourish liver blood, strengthen hair follicles, prevent loss.","KI-3 (Taixi), BL-23 (Shenshu), GB-20 (Fengchi), DU-20 (Baihui), LV-8 (Ququan), BL-18 (Ganshu)",Qi Bao Mei Ran Dan (Seven-Treasure Beautiful Whisker Pill)
What acupuncture points lower high blood pressure?,"Liver Yang Rising with Kidney Yin Deficiency. Calm liver yang, nourish kidney yin, descend rebellious qi, lower blood pressure.","LV-3 (Taichong), LI-4 (Hegu), GB-20 (Fengchi), KI-3 (Taixi), ST-36 (Zusanli), LI-11 (Quchi)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria Beverage)
How does TCM treat high cholesterol?,"Phlegm-Dampness with Spleen Deficiency. Transform phlegm-damp, strengthen spleen, improve lipid metabolism, reduce cholesterol.","ST-40 (Fenglong), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), ST-36 (Zusanli), LV-13 (Zhangmen)",Er Chen Tang (Two-Cured) plus Wen Dan Tang (Warm Gallbladder)
What helps heart palpitations and irregular heartbeat?,"Heart Qi and Blood Deficiency with Phlegm. Tonify heart qi-blood, resolve phlegm, calm shen, regulate heartbeat.","HT-7 (Shenmen), PC-6 (Neiguan), BL-15 (Xinshu), ST-36 (Zusanli), REN-17 (Danzhong), SP-6 (Sanyinjiao)",Gui Pi Tang (Restore Spleen) plus Sheng Mai San (Generate Pulse)
How to treat poor circulation and cold extremities?,"Qi and Blood Stagnation with Yang Deficiency. Move qi-blood, tonify yang, warm channels, improve circulation to extremities.","ST-36 (Zusanli), SP-6 (Sanyinjiao), LV-3 (Taichong), BL-17 (Geshu), KI-3 (Taixi), REN-6 (Qihai)",Dang Gui Si Ni Tang (Tangkuei Frigid Extremities) plus Huang Qi
What addresses varicose veins and venous insufficiency?,"Qi Deficiency with Blood Stasis in lower limbs. Tonify qi, move blood, reduce swelling, strengthen vein walls.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-10 (Xuehai), LV-3 (Taichong), BL-17 (Geshu), SP-9 (Yinlingquan)",Bu Yang Huan Wu Tang (Tonify Yang Restore Five) modified
How does TCM prevent heart disease?,"Qi and Blood Stagnation with Phlegm Obstruction. Move qi-blood, resolve phlegm-stasis, open chest channels, protect heart.","PC-6 (Neiguan), HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-17 (Danzhong), BL-15 (Xinshu)","Gua Lou Xie Bai Ban Xia Tang (Trichosanthes, Chive, Pinellia)"
What helps dizziness and vertigo?,"Phlegm-Dampness with Liver Yang Rising. Resolve phlegm-damp, calm liver yang, descend qi, stop vertigo and dizziness.","DU-20 (Baihui), GB-20 (Fengchi), PC-6 (Neiguan), LV-3 (Taichong), ST-40 (Fenglong), SP-6 (Sanyinjiao)","Ban Xia Bai Zhu Tian Ma Tang (Pinellia, Atractylodes, Gastrodia)"
How to treat Raynaud's phenomenon (cold fingers)?,"Qi and Blood Stagnation with Cold Obstruction. Warm channels, move qi-blood, improve peripheral circulation, relieve finger coldness.","ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), BL-17 (Geshu), LI-4 (Hegu), KI-3 (Taixi)",Dang Gui Si Ni Tang (Tangkuei Frigid Extremities)
What TCM treatment helps acne and breakouts?,"Lung-Stomach Heat with Dampness. Clear lung-stomach heat, resolve dampness, cool blood, reduce acne inflammation.","LI-11 (Quchi), LI-4 (Hegu), ST-44 (Neiting), SP-10 (Xuehai), LU-5 (Chize), local points",Pi Pa Qing Fei Yin (Loquat Clear Lung) or Xiao Yao San modified
How does TCM address eczema and atopic dermatitis?,"Blood Deficiency with Wind-Dryness. Nourish blood, moisten dryness, expel wind, stop itching, restore skin barrier.","SP-10 (Xuehai), LI-11 (Quchi), SP-6 (Sanyinjiao), BL-17 (Geshu), LI-4 (Hegu), LU-7 (Lieque)",Si Wu Tang (Four Substances) plus Xiao Feng San (Eliminate Wind)
What helps psoriasis and skin inflammation?,"Blood Heat with Wind-Toxin. Cool blood, clear heat-toxin, expel wind, reduce inflammation and scaling.","LI-11 (Quchi), SP-10 (Xuehai), BL-17 (Geshu), LV-3 (Taichong), SP-6 (Sanyinjiao), local areas",Qing Ying Tang (Clear Nutritive Level) plus Xiao Feng San
How to treat chronic hives and urticaria?,"Wind-Heat in Blood with Dampness. Expel wind, clear heat, cool blood, resolve dampness, stop chronic hives.","SP-10 (Xuehai), LI-11 (Quchi), LI-4 (Hegu), SP-6 (Sanyinjiao), ST-36 (Zusanli), surrounding needling",Xiao Feng San (Eliminate Wind Powder)
What addresses rosacea and facial redness?,"Spleen-Stomach Damp-Heat Rising with Blood Heat. Clear damp-heat, cool blood, reduce facial flushing, calm rosacea.","LI-4 (Hegu), LI-11 (Quchi), ST-44 (Neiting), SP-10 (Xuehai), SP-6 (Sanyinjiao), facial points",Qing Wei San (Clear Stomach) plus Liang Ge San (Cool Diaphragm)
How does TCM treat age spots and hyperpigmentation?,"Liver Qi Stagnation with Blood Stasis and Kidney Deficiency. Soothe liver, move blood-stasis, nourish kidney, fade dark spots.","LV-3 (Taichong), SP-10 (Xuehai), KI-3 (Taixi), SP-6 (Sanyinjiao), LI-4 (Hegu), local dark areas",Xiao Yao San (Free and Easy Wanderer) plus Liu Wei Di Huang Wan
What helps vitiligo and skin depigmentation?,"Liver-Kidney Deficiency with Qi-Blood Stagnation. Tonify liver-kidney, move qi-blood, restore pigment production.","KI-3 (Taixi), LV-8 (Ququan), SP-6 (Sanyinjiao), ST-36 (Zusanli), SP-10 (Xuehai), local white patches",Bu Gu Zhi Wan (Psoralea Corylifolia Pill)
How to treat shingles and post-herpetic neuralgia?,"Liver Fire with Damp-Heat Toxin. Clear liver fire, drain damp-heat toxin, calm nerves, reduce shingles pain.","GB-34 (Yanglingquan), LI-11 (Quchi), SP-10 (Xuehai), TE-5 (Waiguan), surrounding belt area",Long Dan Xie Gan Tang (Gentian Drain Liver) plus antiviral herbs
What addresses chronic itching without rash?,"Blood Deficiency with Wind invasion. Nourish blood, expel wind, moisten skin, stop systemic itching.","SP-10 (Xuehai), LI-11 (Quchi), SP-6 (Sanyinjiao), BL-17 (Geshu), LV-3 (Taichong), widespread points",Dang Gui Yin Zi (Tangkuei Decoction for Moistening)
How does TCM treat hair loss and alopecia?,"Kidney Essence and Liver Blood Deficiency. Tonify kidney essence, nourish liver blood, strengthen follicles, promote hair growth.","KI-3 (Taixi), BL-23 (Shenshu), GB-20 (Fengchi), DU-20 (Baihui), LV-8 (Ququan), local scalp points",Qi Bao Mei Ran Dan (Seven-Treasure Beautiful Whisker) plus Si Wu Tang
What acupuncture helps frequent urination?,"Kidney Yang Deficiency with Qi Not Consolidating. Tonify kidney yang, consolidate qi, warm lower jiao, reduce urination frequency.","REN-4 (Guanyuan), REN-6 (Qihai), BL-23 (Shenshu), BL-28 (Pangguangshu), SP-6 (Sanyinjiao), KI-3 (Taixi)",Suo Quan Wan (Shut the Sluice Pill) plus Jin Gui Shen Qi Wan
How does TCM treat urinary tract infections?,"Damp-Heat in Bladder. Clear damp-heat, cool blood, relieve pain, promote urination, eliminate infection.","REN-3 (Zhongji), SP-9 (Yinlingquan), SP-6 (Sanyinjiao), LI-11 (Quchi), BL-28 (Pangguangshu)",Ba Zheng San (Eight-Herb Powder for Correction)
What helps kidney stones and prevention?,"Kidney Qi Deficiency with Damp-Heat. Tonify kidney qi, clear damp-heat, dissolve stones, prevent recurrence.","KI-3 (Taixi), BL-23 (Shenshu), SP-9 (Yinlingquan), ST-28 (Shuidao), REN-3 (Zhongji), SP-6 (Sanyinjiao)",Shi Wei San (Pyrrosia Powder) plus Jin Qian Cao (Lysimachia)
How to treat urinary incontinence?,"Kidney Qi Not Consolidating or Spleen Qi Sinking. Tonify kidney-spleen qi, lift middle jiao, consolidate bladder control.","REN-4 (Guanyuan), REN-6 (Qihai), BL-23 (Shenshu), BL-28 (Pangguangshu), SP-6 (Sanyinjiao), ST-36 (Zusanli)",Suo Quan Wan (Shut the Sluice) plus Bu Zhong Yi Qi Tang
What addresses chronic kidney disease support?,"Kidney Yin-Yang Deficiency. Tonify kidney yin and yang, strengthen filtration, slow disease progression, protect nephrons.","KI-3 (Taixi), BL-23 (Shenshu), REN-4 (Guanyuan), ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-20 (Pishu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus protective herbs
How does TCM treat bedwetting in children?,"Kidney Qi Deficiency with Damp-Cold. Tonify kidney qi, warm yang, consolidate essence, stop nighttime bedwetting.","REN-4 (Guanyuan), REN-3 (Zhongji), BL-23 (Shenshu), SP-6 (Sanyinjiao), ST-36 (Zusanli), moxa therapy",Suo Quan Wan (Shut the Sluice) plus warming herbs
What TCM treatment helps type 2 diabetes?,"Kidney and Spleen Qi Deficiency with Yin Deficiency. Tonify kidney-spleen, nourish yin, improve glucose metabolism, regulate insulin.","REN-12 (Zhongwan), ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-3 (Taixi), BL-20 (Pishu), BL-23 (Shenshu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Huang Qi
How does TCM address thyroid imbalance?,"Kidney Yang Deficiency with Qi Stagnation. Tonify kidney yang, move qi, regulate thyroid function, balance metabolism.","DU-4 (Mingmen), REN-6 (Qihai), KI-3 (Taixi), BL-23 (Shenshu), ST-36 (Zusanli), REN-4 (Guanyuan)",Jin Gui Shen Qi Wan (Kidney Qi Pill) modified
What helps metabolic syndrome and obesity?,"Spleen Deficiency with Phlegm-Dampness. Strengthen spleen, transform phlegm-damp, improve metabolism, reduce weight.","ST-36 (Zusanli), SP-6 (Sanyinjiao), SP-9 (Yinlingquan), REN-12 (Zhongwan), ST-40 (Fenglong), ST-25 (Tianshu)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang"
How to treat insulin resistance and pre-diabetes?,"Spleen Qi Deficiency with Dampness-Heat. Tonify spleen, clear damp-heat, improve insulin sensitivity, prevent diabetes.","ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-12 (Zhongwan), SP-9 (Yinlingquan), LV-13 (Zhangmen), PC-6 (Neiguan)","Ge Gen Qin Lian Tang (Kudzu, Scutellaria, Coptis) modified"
What addresses chronic hypoglycemia?,"Spleen and Kidney Yang Deficiency. Tonify spleen-kidney yang, warm metabolism, regulate blood sugar balance.","ST-36 (Zusanli), SP-6 (Sanyinjiao), KI-3 (Taixi), BL-20 (Pishu), BL-23 (Shenshu), REN-6 (Qihai)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Wu Ling San
How does TCM support adrenal fatigue?,"Spleen-Kidney Yang Deficiency. Tonify spleen-kidney yang, restore adrenal function, improve stress response, boost energy.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), BL-20 (Pishu), BL-23 (Shenshu)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus adaptogenic herbs
