Condition / Diagnosis,Treatment Principle,Primary Acupuncture Points,Treatment Frequency & Duration,Herbal Pharmacopeia Formula,Relevant Body Parts / Figures,Clinical Recommendations & Notes
Amenorrhea - Blood Deficiency,"Nourish Blood, Tonify Liver and Kidney, Regulate menstruation","SP6, ST36, BL17, BL18, BL20, BL23, CV4, LV3",2x per week for 3-6 months,Si Wu Tang (四物汤) or Ba Zhen Tang (八珍汤),"Leg (Inner View - SP/KI/LV), Back & Spine (Back View), Chest & Upper Abdomen (Front)","Rule out pregnancy, PCOS, thyroid issues. Adequate nutrition essential. Weight restoration if underweight. May take months."
Menopausal Symptoms - Kidney Yin Deficiency,"Nourish Kidney Yin, Clear deficiency Heat, Calm Shen","KI3, KI6, HT6, SP6, LV3, CV4, GV20",1-2x per week for ongoing support,Zhi Bai Di Huang Wan (知柏地黄丸) or Liu Wei Di Huang Wan (六味地黄丸),"Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View), Back & Spine (Back View)",Cooling foods. Stress management. Exercise. Sleep hygiene. May need long-term treatment. Coordinate with MD.
Fertility Support - General,"Regulate menstruation, Nourish Blood, Warm Uterus, Support Kidney","CV4, SP6, ST29, KI3, BL23, ST36, PC6 (cycle-specific points)","1x per week continuously, adjusting points based on cycle phase","Cycle-specific formulas; commonly includes Si Wu Tang (四物汤), Ba Zhen Tang (八珍汤)","Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)","Both partners should be treated if possible. Lifestyle: no smoking/excess alcohol, healthy weight, stress management. May take 3-6 months."
PCOS Support,"Resolve Phlegm-Damp, Invigorate Blood, Regulate menstruation","SP6, SP9, ST40, CV4, ST29, ST36, CV12, LV3",2x per week for 3-6 months,Cang Fu Dao Tan Wan (苍附导痰丸) + modifications,"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front)",Weight loss if overweight crucial. Low GI diet. Exercise. Medical coordination for metabolic issues. Long-term condition.
Morning Sickness,"Harmonize Stomach, Descend Qi, Stop nausea","PC6, ST36, CV12, SP4, KI21",As needed; can be daily if severe,Xiao Ban Xia Tang (小半夏汤) - use with caution; ginger safe,"Arm (Yin Meridians / Inner View), Chest & Upper Abdomen (Front)",PC6 wrist bands. Small frequent meals. Ginger. Rule out hyperemesis. Usually improves by 12-14 weeks.
Breech Presentation,"Warm meridians, Encourage fetal movement",BL67 (with moxa),"Daily moxa 15-20 min per side, weeks 34-37",None typically,"Leg (Back View), Foot (Sole/Bottom View)",Most effective 34-36 weeks. Patient can do at home. Coordinate with midwife/OB. Success rate varies. Stop if baby turns.
Labor Preparation,"Ripen cervix, Tonify Qi, Prepare for labor","LI4, SP6, BL60, BL67, BL32",Weekly from week 37; 2-3x in week 40+,Generally none; red raspberry leaf tea,"Arm (Yang Meridians / Outer View), Leg (Inner View - SP/KI/LV), Leg (Back View)",Only after 37 weeks. Gentle treatment. Contraindicated if placenta previa or high-risk pregnancy. Coordinate with care provider.
Postpartum Recovery,"Tonify Qi and Blood, Promote lactation, Restore body","ST36, SP6, CV6, CV12, BL20, GB21, SI1 (if lactation issues)",1-2x per week for 6-12 weeks postpartum,Sheng Hua Tang (生化汤) first 2 weeks; Bu Zhong Yi Qi Tang (补中益气汤) ongoing,"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front), Back & Spine (Back View)",Rest essential. Nutritious warm foods. Help with baby care. Moxa to CV6. Support for mood issues. Can start week 2-3 postpartum.
UTI - Damp-Heat in Bladder,"Clear Heat, Resolve Dampness, Promote urination","CV3, BL28, SP9, SP6, LI11, ST28",2-3x per week for 2-3 weeks; may need antibiotics,Ba Zheng San (八正散),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",Increase water intake. Cranberry. Hygiene. Rule out resistance - may need antibiotics. Recurrent UTI needs medical workup.
Frequent Urination - Kidney Yang Deficiency,"Tonify and Warm Kidney Yang, Consolidate lower jiao","BL23, CV4, KI3, BL28, SP6 (with moxa)",2x per week for 8-12 weeks,Jin Gui Shen Qi Wan (金匮肾气丸) or Suo Quan Wan (缩泉丸),"Chest & Upper Abdomen (Front), Back & Spine (Back View), Leg (Inner View - SP/KI/LV)","Moxa essential. Avoid cold foods/drinks. Kegel exercises. Rule out prostate issues in men, pelvic floor in women."
Incontinence - Spleen and Kidney Deficiency,"Tonify Spleen and Kidney, Consolidate, Raise Qi","CV4, CV6, BL23, BL20, ST36, SP6, BL28, GV20",2x per week for 10-12 weeks,Bu Zhong Yi Qi Tang (补中益气汤) + Jin Suo Gu Jing Wan (金锁固精丸),"Chest & Upper Abdomen (Front), Back & Spine (Back View), Leg (Inner View - SP/KI/LV)","Pelvic floor physical therapy. Kegel exercises. Bladder training. Moxa to CV4, BL23. Rule out serious pathology."
Kidney Stones - Damp-Heat,"Clear Heat, Resolve Dampness, Promote urination, Expel stones","BL23, BL28, CV3, SP9, KI3, GB25",As adjunct to medical management,Ba Zheng San (八正散) + modifications,"Back & Spine (Back View), Chest & Upper Abdomen (Front)",Medical management essential. Increase water. Dietary changes per stone type. Pain management. May need lithotripsy/surgery.
Chronic Kidney Disease Support,"Tonify Kidney, Support function, Regulate fluids","BL23, KI3, CV4, ST36, SP6, BL20",1x per week for ongoing support,Individualized; Jin Gui Shen Qi Wan (金匮肾气丸) commonly used,"Back & Spine (Back View), Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front)",Supportive care only. Nephrologist management essential. Diet restrictions. Fluid management. BP control. Monitor closely.
Prostate Issues - BPH,"Move Qi and Blood, Resolve stagnation, Promote urination","CV4, CV3, BL28, BL32, SP6, SP9, LV3",2x per week for 8-12 weeks,Qian Lie Xian Wan (前列腺丸) or individualized formulas,"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",Medical monitoring. PSA tests. Rule out malignancy. Saw palmetto. Lifestyle: limit alcohol/caffeine before bed.
Interstitial Cystitis Support,"Nourish Kidney Yin, Clear deficiency Heat, Calm urgency","KI3, CV3, SP6, BL28, BL23, ST28",1-2x per week for ongoing management,Individualized; commonly Liu Wei Di Huang Wan (六味地黄丸) + modifications,"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",IC diet essential. Avoid triggers. Stress management. Pelvic floor PT. Coordinate with urologist. Challenging condition.
Eczema - Wind-Heat with Dampness,"Expel Wind, Clear Heat, Resolve Dampness, Cool Blood","LI11, SP10, BL40, SP6, GB20, LI4",2x per week for 8-12 weeks,Xiao Feng San (消风散),"Arm (Yang Meridians / Outer View), Leg (Inner View - SP/KI/LV), Leg (Back View)",Avoid triggers. Moisturize. Anti-inflammatory diet. Stress management. May need prolonged treatment. Topical herbs can help.
Psoriasis - Blood Heat,"Cool Blood, Nourish Yin, Resolve toxicity, Moisten skin","LI11, SP10, LV3, SP6, BL40, BL17",2x per week for 12+ weeks,Liang Xue Xiao Feng Tang (凉血消风汤) or Qing Ying Tang (清营汤),"Arm (Yang Meridians / Outer View), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)","Manage expectations - supportive not curative. Avoid alcohol, smoking, stress. Sunlight in moderation. Coordinate with dermatologist."
Acne - Damp-Heat in Stomach,"Clear Heat, Resolve Dampness, Cool Blood","LI4, LI11, ST44, SP6, SP10, ST25",2x per week for 8-10 weeks,Qing Wei San (清胃散) or Huang Lian Jie Du Tang (黄连解毒汤),"Head & Face (Front View), Arm (Yang Meridians / Outer View), Leg & Thigh (Front View)","Avoid greasy, spicy, dairy foods. Hygiene without over-washing. Stress management. May improve with hormonal balance."
Urticaria (Hives) - Wind-Heat,"Expel Wind, Clear Heat, Cool Blood, Stop itching","LI11, GB20, LI4, SP10, SP6, BL40",Acute: 2-3x per week until resolved; Chronic: 2x per week for 8-12 weeks,Xiao Feng San (消风散),"Arm (Yang Meridians / Outer View), Head & Neck (Side View), Leg (Inner View - SP/KI/LV)",Identify and avoid triggers. Antihistamines may be needed. Cool compresses. Stress reduction. Rule out food allergies.
Rosacea,"Clear Heat, Nourish Yin, Cool Blood, Harmonize Stomach","LI4, LI11, ST44, SP10, KI3, LV3",1-2x per week for 12+ weeks,Qing Wei San (清胃散) or Qing Shang Juan Tong Tang (清上蠲痛汤),"Head & Face (Front View), Arm (Yang Meridians / Outer View), Leg & Thigh (Front View)","Avoid triggers: hot drinks, spicy food, alcohol, extreme temps, stress. Gentle skin care. Sunscreen. May need prolonged care."
Shingles (Herpes Zoster) - Damp-Heat with Fire Toxin,"Clear Heat and toxins, Resolve Dampness, Stop pain, Nourish Yin recovery","Surrounding points along affected dermatome, GB34, LI4, LI11, SP6, BL40",Acute: daily if possible for 7-10 days; Post-herpetic: 2x per week for 8-12 weeks,Long Dan Xie Gan Tang (龙胆泻肝汤) acute; Yin-nourishing formulas for recovery,Area-specific per dermatome affected,"Start treatment immediately at onset. Antivirals within 72 hours essential. Surrounding needling, not into lesions. Post-herpetic neuralgia challenging."
Hair Loss - Liver Blood Deficiency,"Nourish Liver Blood, Tonify Kidney, Invigorate scalp","GV20, BL18, BL23, LV3, LV8, GB20, local scalp points",2x per week for 12+ weeks,Qi Bao Mei Ran Dan (七宝美髯丹) or Shou Wu Pian (首乌片),"Head & Face (Front View), Head & Neck (Side View), Leg (Inner View - SP/KI/LV), Back & Spine (Back View)",Rule out medical causes. Nutrition important. Stress management. Scalp massage. Results take months. Not effective for all types.
Vitiligo Support,"Nourish Liver-Kidney, Invigorate Blood, Dispel Wind","LV3, KI3, BL18, BL23, SP10, SP6, local edge points",2x per week for 6+ months,Bai Bo Qu Feng Wan (白驳祛风丸) or individualized formulas,Area-specific to affected regions,Manage expectations - results limited and slow. Sunscreen on affected areas. Stress reduction. May combine with phototherapy. Long-term condition.
Bell Palsy (Facial Paralysis),"Expel Wind, Invigorate channels, Restore facial function","LI4, ST6, ST7, GB20, local face points (ST2, ST4, GB14, BL2, etc.)",3-5x per week in first 2 weeks; then 2-3x per week for 8-12 weeks,Qian Zheng San (牵正散),"Head & Face (Front View), Head & Neck (Side View), Arm (Yang Meridians / Outer View)",Start immediately. Protect eye. Facial exercises. Warm compresses. Steroids within 72 hours. Best prognosis if treated early. Avoid cold wind.
Stroke Recovery (CVA),"Invigorate Blood, Open channels, Restore function, Resolve Phlegm","GV20, GB34, ST36, LI4, LI11, SP6, affected limb points, scalp acupuncture",3-5x per week initially; long-term 2x per week,Bu Yang Huan Wu Tang (补阳还五汤),Master Template (Full Body Fallback) - affected side focus,Medical clearance essential. Start 2-4 weeks post-stroke when stable. Physical/occupational therapy crucial. Earlier treatment better outcome. Long-term commitment.
Multiple Sclerosis Support,"Tonify Spleen-Kidney, Nourish Liver-Kidney, Support function","Individualized based on symptoms; commonly ST36, SP6, BL23, GV20, GB34",1x per week for ongoing support,Individualized formulas,Master Template (Full Body Fallback),Supportive care only. Medical management essential. Symptom-specific treatment. Stress reduction. Avoid overheating. Regular schedule.
Parkinsons Disease Support,"Nourish Liver-Kidney, Extinguish Wind, Support movement","LV3, GB34, KI3, GV20, GB20, LI4, ST36, scalp points",1-2x per week for ongoing support,Tian Ma Gou Teng Yin (天麻钩藤饮) + modifications,"Head & Face (Front View), Leg (Inner View - SP/KI/LV), Arm (Yang Meridians / Outer View)","Supportive care only. Medical management essential. May help with tremor, rigidity. Exercise important. Regular treatment schedule."
Essential Tremor,"Extinguish Wind, Nourish Liver-Kidney, Calm tremor","LV3, GB34, KI3, GV20, LI4, HT7, PC6",2x per week for 8-12 weeks initial; then maintenance,Tian Ma Gou Teng Yin (天麻钩藤饮),"Head & Face (Front View), Leg (Inner View - SP/KI/LV), Arm (Yang Meridians / Outer View)",Avoid caffeine. Stress management. Beta-blockers may be needed. Variable results. Trial worth attempting.
Vertigo - Phlegm-Dampness,"Resolve Phlegm-Dampness, Descend Qi, Harmonize middle jiao","ST40, SP9, PC6, CV12, ST36, GB20, GV20",2-3x per week for 4-6 weeks,Ban Xia Bai Zhu Tian Ma Tang (半夏白术天麻汤),"Head & Neck (Side View), Arm (Yin Meridians / Inner View), Leg & Thigh (Front View)","Rule out serious causes (BPPV, Menieres, CVA). Low salt if Menieres. PC6 can help nausea. Epley maneuver if BPPV."
Type 2 Diabetes Support,"Tonify Spleen-Kidney, Generate fluids, Regulate glucose","ST36, SP6, CV12, BL20, BL23, KI3, CV4",2x per week for ongoing support,Liu Wei Di Huang Wan (六味地黄丸) + modifications,"Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front), Back & Spine (Back View)",Adjunct only - medication essential. Diet and exercise crucial. Monitor blood sugar. Prevent complications. Medical coordination mandatory.
Hyperthyroidism Support,"Nourish Yin, Clear Heat, Calm Liver, Soften hardness","KI3, HT7, LV3, PC6, ST9, CV22, ST36",1-2x per week as adjunct to medical treatment,Individualized; often Yin-nourishing + sedating herbs,"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Arm (Yin Meridians / Inner View)",Medical management essential. Avoid iodine excess. Stress management. Monitor thyroid levels. Coordinate with endocrinologist.
Hypothyroidism Support,"Tonify Spleen-Kidney Yang, Warm meridians, Resolve Phlegm","CV4, CV6, ST36, BL20, BL23, ST9, ST40 (with moxa)",1-2x per week as adjunct to thyroid medication,Jin Gui Shen Qi Wan (金匮肾气丸) + modifications,"Chest & Upper Abdomen (Front), Back & Spine (Back View), Leg & Thigh (Front View)","Thyroid hormone replacement essential. Moxa to CV4, CV6. Support energy. Monitor thyroid levels. Medical coordination mandatory."
Metabolic Syndrome,"Resolve Phlegm-Dampness, Tonify Spleen, Move Blood, Regulate","ST36, SP9, SP6, ST40, CV12, CV9, ST25",2x per week for 12+ weeks,Er Chen Tang (二陈汤) + Dan Shen (丹参) or Shan Zha (山楂),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Leg & Thigh (Front View)","Lifestyle crucial: diet, exercise, weight loss. Stress management. May need medications. Long-term condition requiring commitment."
High Cholesterol,"Resolve Phlegm, Invigorate Blood, Tonify Spleen, Move stagnation","ST36, SP6, SP9, ST40, LV3, CV12, BL20",1-2x per week for ongoing support,"Ze Xie Tang (泽泻汤) or formulas with Shan Zha (山楂), Dan Shen (丹参)","Leg (Inner View - SP/KI/LV), Chest & Upper Abdomen (Front)","Diet essential: low saturated fat, high fiber. Exercise. Weight loss if needed. May need statins. Monitor lipids. Lifestyle primary."
Obesity - Phlegm-Dampness,"Resolve Phlegm-Dampness, Tonify Spleen, Move Qi, Promote metabolism","ST36, SP6, SP9, ST40, CV9, ST25, CV12",2x per week for 12+ weeks,Fang Ji Huang Qi Tang (防己黄芪汤) or Er Chen Tang (二陈汤),"Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV), Leg & Thigh (Front View)",Realistic expectations. Diet and exercise primary. Acupuncture supportive. Behavioral changes essential. Long-term commitment. Auricular points helpful.
Chronic Fatigue Syndrome,"Tonify Qi, Nourish Blood, Support Spleen and Kidney, Calm Shen","ST36, SP6, CV6, BL20, BL23, HT7, GV20, PC6",1-2x per week for 12+ weeks,Bu Zhong Yi Qi Tang (补中益气汤) or Ba Zhen Tang (八珍汤),"Leg (Inner View - SP/KI/LV), Back & Spine (Back View), Chest & Upper Abdomen (Front)",Pacing activities. Gentle gradual exercise. Sleep hygiene. Stress management. Nutrition. Rule out other causes. Challenging condition.
Addisons Disease Support,"Tonify Kidney Yang, Support adrenal function, Warm meridians","BL23, CV4, CV6, ST36, KI3, GV4 (with moxa)",1x per week for ongoing support,Jin Gui Shen Qi Wan (金匮肾气丸) - coordinate with MD,"Back & Spine (Back View), Chest & Upper Abdomen (Front), Leg (Inner View - SP/KI/LV)",Supportive only. Steroid replacement essential and life-saving. Medical management mandatory. Stress dose steroids when ill. Medical coordination crucial.
