question,answer,acupuncture_points,pharmacopeia
What helps difficulty saying no and setting limits?,"Spleen Qi Deficiency with Liver Qi Stagnation. Difficulty saying no shows weak center unable to assert needs. Tonify spleen center, empower liver assertion, practice boundary-setting.","ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), GB-34 (Yanglingquan), PC-6 (Neiguan), LI-4 (Hegu)",Si Jun Zi Tang (Four Gentlemen) plus Xiao Yao San plus assertiveness training
How to treat loss of personal identity in relationships?,"Severe Identity Enmeshment with Qi-Blood Deficiency. Lost identity in relationship shows complete fusion with depleted self-essence. Separate energetically, tonify qi-blood, rebuild individual self.","HT-7 (Shenmen), KI-3 (Taixi), SP-6 (Sanyinjiao), LV-3 (Taichong), REN-17 (Danzhong), PC-6 (Neiguan)","Ba Zhen Tang (Eight Treasures) plus identity rebuilding, separation therapy"
What TCM treatment helps fixed mindset resistance to growth?,"Liver Qi Severe Stagnation with Kidney Yang Deficiency. Fixed mindset shows rigid constraint with depleted growth energy. Deeply soothe liver rigidity, tonify kidney yang, open to growth possibilities.","LV-3 (Taichong), GB-34 (Yanglingquan), KI-3 (Taixi), DU-4 (Mingmen), LV-14 (Qimen), ST-36 (Zusanli)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus growth mindset work
How does TCM address belief in personal limitations?,"Kidney Essence Deficiency with Heart-Spleen Deficiency. Limiting beliefs show depleted willpower with weak mental processing. Tonify kidney essence, strengthen heart-spleen, expand perceived capabilities.","KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), DU-20 (Baihui), BL-23 (Shenshu), SP-6 (Sanyinjiao)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Gui Pi Tang plus capability expansion
What helps patients with learned helplessness?,"Liver Qi Stagnation with Spleen-Kidney Severe Deficiency. Helplessness shows constrained action with depleted capacity believing change impossible. Soothe liver, tonify spleen-kidney, restore agency.","LV-3 (Taichong), ST-36 (Zusanli), KI-3 (Taixi), SP-6 (Sanyinjiao), GB-34 (Yanglingquan), REN-6 (Qihai)",Xiao Yao San (Free and Easy Wanderer) plus Jin Gui Shen Qi Wan plus agency restoration
How to treat victim mentality and external locus of control?,"Kidney Yang Deficiency with Liver Qi Stagnation and External Locus. Victim mentality shows depleted personal power with blame-based constraint. Tonify kidney yang empowerment, soothe liver, internalize control.","KI-3 (Taixi), DU-4 (Mingmen), LV-3 (Taichong), REN-6 (Qihai), ST-36 (Zusanli), GB-34 (Yanglingquan)",You Gui Wan (Restore Right Kidney) plus Xiao Yao San plus empowerment practice
What TCM approach helps scarcity mindset and fear of lack?,"Spleen Qi Deficiency with Liver Qi Stagnation and Fear. Scarcity mindset shows weak abundance center with constrained flow creating lack. Strengthen spleen abundance, soothe liver, shift to prosperity consciousness.","ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), REN-12 (Zhongwan), BL-20 (Pishu), GB-34 (Yanglingquan)",Si Jun Zi Tang (Four Gentlemen) plus Xiao Yao San plus abundance mindset shift
How does TCM address belief that change is impossible?,"Severe Liver Qi Stagnation with Kidney Yang Deficiency. Belief change impossible shows rigid constraint with depleted transformation energy. Deeply move liver stagnation, tonify kidney yang, prove change possible.","LV-3 (Taichong), KI-3 (Taixi), DU-4 (Mingmen), GB-34 (Yanglingquan), ST-36 (Zusanli), LV-14 (Qimen)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus prove change possible
What helps all-or-nothing thinking patterns?,"Liver Qi Stagnation with Heart Blood Deficiency. All-or-nothing thinking shows rigid constraint with depleted heart flexibility. Soothe liver, nourish heart blood, embrace middle way.","LV-3 (Taichong), HT-7 (Shenmen), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), PC-6 (Neiguan), LV-14 (Qimen)",Xiao Yao San (Free and Easy Wanderer) plus Si Wu Tang plus middle way practice
How to treat fear of success and self-sabotage?,"Liver Qi Stagnation with Kidney Essence Deficiency and Heart-Gallbladder Deficiency. Self-sabotage shows constrained success path with weak courage-willpower. Soothe liver, tonify kidney-heart-gallbladder, permit success.","LV-3 (Taichong), KI-3 (Taixi), HT-7 (Shenmen), GB-34 (Yanglingquan), REN-6 (Qihai), BL-23 (Shenshu)",Xiao Yao San (Free and Easy Wanderer) plus Wen Dan Tang plus permit success work
What TCM treatment helps deeply ingrained limiting beliefs?,"Generational Jing (Essence) Depletion with Liver Qi Stagnation. Deeply ingrained beliefs from ancestral patterns affecting kidney essence and liver flow. Tonify jing, heal ancestral patterns, soothe liver, rewrite beliefs.","KI-3 (Taixi), BL-23 (Shenshu), DU-4 (Mingmen), LV-3 (Taichong), HT-7 (Shenmen), GB-34 (Yanglingquan)","Zuo Gui Wan (Restore Left Kidney) plus ancestral healing, belief rewriting"
How does TCM address generational trauma affecting mindset?,"Inherited Kidney Essence Deficiency with Heart-Liver Constraint. Generational trauma affects kidney foundation and heart-liver flow across generations. Heal ancestral trauma, tonify kidney, soothe heart-liver, break cycle.","KI-3 (Taixi), HT-7 (Shenmen), LV-3 (Taichong), BL-23 (Shenshu), BL-15 (Xinshu), BL-18 (Ganshu)","Jin Gui Shen Qi Wan (Kidney Qi Pill) plus ancestral trauma healing, pattern breaking"
What TCM treatment helps ADHD-like attention difficulties?,"Heart-Spleen Deficiency with Liver Yang Rising. ADHD-like symptoms show weak mental organs with excess rising yang scattering attention. Tonify heart-spleen, calm liver yang, anchor focus.","HT-7 (Shenmen), ST-36 (Zusanli), DU-20 (Baihui), LV-3 (Taichong), GB-20 (Fengchi), Sishencong",Gui Pi Tang (Restore Spleen) plus Tian Ma Gou Teng Yin (Gastrodia and Uncaria)
How does TCM address inability to maintain sustained focus?,"Heart-Kidney Yin Deficiency with Liver Yang Rising. Sustained focus requires yin grounding with calm yang. Nourish heart-kidney yin, calm liver yang, restore sustained attention capacity.","HT-7 (Shenmen), KI-3 (Taixi), DU-20 (Baihui), LV-3 (Taichong), GB-20 (Fengchi), PC-6 (Neiguan)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Tian Ma Gou Teng Yin
What helps digital distraction and technology addiction?,"Heart-Shen Scattered with Liver Qi Stagnation. Digital distraction shows agitated shen with compulsive stagnant pattern. Anchor shen, soothe liver, break addictive patterns, restore presence.","HT-7 (Shenmen), DU-20 (Baihui), LV-3 (Taichong), PC-6 (Neiguan), Yintang, ST-36 (Zusanli)",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus digital detox
How to treat short attention span and restlessness?,"Heart-Spleen Qi Deficiency with Liver Yang Rising. Short attention shows weak holding organs with restless yang. Tonify heart-spleen, calm liver yang, increase attention span.","HT-7 (Shenmen), LV-3 (Taichong), ST-36 (Zusanli), DU-20 (Baihui), GB-20 (Fengchi), PC-6 (Neiguan)",Gui Pi Tang (Restore Spleen) plus Tian Ma Gou Teng Yin plus attention training
What TCM approach helps hyperfocus leading to exhaustion?,"Kidney Yin Deficiency with Liver Yang Excess. Hyperfocus depletes yin with excessive yang concentration causing burnout. Nourish kidney yin, regulate liver yang, balance focus-rest cycle.","KI-3 (Taixi), HT-7 (Shenmen), LV-3 (Taichong), GB-20 (Fengchi), SP-6 (Sanyinjiao), Yintang",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus rest-work balance
How does TCM support mind-wandering during important tasks?,"Heart-Shen Wandering with Spleen Qi Deficiency. Mind-wandering shows ungathered shen with weak mental gravity. Anchor shen, strengthen spleen, return attention to task.","HT-7 (Shenmen), DU-20 (Baihui), ST-36 (Zusanli), Sishencong, PC-6 (Neiguan), Yintang",Gui Pi Tang (Restore Spleen) plus Wen Dan Tang plus attention anchoring
What helps patients with sensory overload affecting focus?,"Heart-Kidney Yin Deficiency with Liver Yang Rising. Sensory overload shows depleted calming yin unable to filter excess stimulation. Nourish heart-kidney yin, calm liver yang, strengthen filtering.","HT-7 (Shenmen), KI-3 (Taixi), LV-3 (Taichong), GB-20 (Fengchi), PC-6 (Neiguan), Yintang",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Tian Ma Gou Teng Yin
How to treat difficulty filtering out distractions?,"Heart-Spleen Deficiency with Liver Yang Rising and Phlegm. Distraction shows weak focus organs with excess yang and clouded perception. Tonify heart-spleen, calm yang, clear phlegm, filter distractions.","HT-7 (Shenmen), ST-36 (Zusanli), LV-3 (Taichong), ST-40 (Fenglong), DU-20 (Baihui), GB-20 (Fengchi)",Gui Pi Tang (Restore Spleen) plus Tian Ma Gou Teng Yin plus Wen Dan Tang
What TCM treatment helps analysis paralysis?,"Heart-Gallbladder Qi Deficiency with Phlegm Misting Orifices. Analysis paralysis shows weak decisiveness with clouded overthinking. Tonify heart-gallbladder, clear phlegm, restore decisive action.","HT-7 (Shenmen), GB-34 (Yanglingquan), ST-40 (Fenglong), PC-6 (Neiguan), DU-20 (Baihui), Yintang",Wen Dan Tang (Warm Gallbladder) plus Kai Xin San (Open Heart Powder)
How does TCM address difficulty prioritizing tasks?,"Spleen Qi Deficiency with Heart Blood Deficiency. Priority confusion shows weak discrimination with depleted clarity. Strengthen spleen discernment, nourish heart clarity, improve prioritization.","ST-36 (Zusanli), HT-7 (Shenmen), SP-6 (Sanyinjiao), BL-20 (Pishu), DU-20 (Baihui), PC-6 (Neiguan)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Gui Pi Tang (Restore Spleen)"
What helps patients who second-guess every decision?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Second-guessing shows weak confidence with constrained trust. Tonify heart-gallbladder courage, soothe liver, trust decisions.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), ST-36 (Zusanli), Yintang",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus trust practice
How to treat mental confusion when facing choices?,"Phlegm-Dampness Misting Shen with Heart-Gallbladder Deficiency. Mental confusion shows obscured consciousness with weak decision organs. Clear phlegm-damp, tonify heart-gallbladder, restore clarity.","ST-40 (Fenglong), HT-7 (Shenmen), GB-34 (Yanglingquan), Yintang, DU-20 (Baihui), PC-6 (Neiguan)",Wen Dan Tang (Warm Gallbladder) plus Wu Ling San plus clarity restoration
What TCM approach helps decision fatigue?,"Heart-Spleen Severe Depletion from Excessive Deciding. Decision fatigue shows exhausted mental resources. Tonify heart-spleen, reduce decisions, restore cognitive reserves.","HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), PC-6 (Neiguan), DU-20 (Baihui), Yintang","Gui Pi Tang (Restore Spleen) plus reduce decision load, simplify"
How does TCM support poor judgment and impulsivity?,"Liver Yang Rising with Heart-Kidney Yin Deficiency. Impulsivity shows unchecked yang with depleted yin restraint. Calm liver yang, nourish heart-kidney yin, restore thoughtful judgment.","LV-3 (Taichong), HT-7 (Shenmen), KI-3 (Taixi), GB-20 (Fengchi), PC-6 (Neiguan), DU-20 (Baihui)",Tian Ma Gou Teng Yin (Gastrodia) plus Liu Wei Di Huang Wan
What helps chronic indecisiveness in daily life?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Chronic indecision shows weak decisiveness with constrained commitment. Tonify heart-gallbladder, soothe liver, practice deciding.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), DU-20 (Baihui), ST-36 (Zusanli)",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus decision practice
How to treat difficulty seeing big picture vs details?,"Heart-Spleen Imbalance with Kidney Essence Deficiency. Big picture vs details shows unbalanced perspective processing. Balance heart-spleen function, tonify kidney, integrate both views.","HT-7 (Shenmen), ST-36 (Zusanli), KI-3 (Taixi), DU-20 (Baihui), SP-6 (Sanyinjiao), Sishencong",Gui Pi Tang (Restore Spleen) plus Liu Wei Di Huang Wan plus perspective balance
What TCM treatment cultivates growth mindset and openness?,"Liver Qi Smooth Flow with Kidney Yang Tonification. Growth mindset requires flexible liver and transformative kidney yang. Soothe liver openness, tonify kidney yang, cultivate learning attitude.","LV-3 (Taichong), KI-3 (Taixi), DU-4 (Mingmen), HT-7 (Shenmen), GB-34 (Yanglingquan), DU-20 (Baihui)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus learning attitude
How does TCM address rigid thinking and inflexibility?,"Severe Liver Qi Stagnation with Kidney Yang Deficiency. Rigid thinking shows inflexible constraint with depleted change capacity. Deeply move liver, tonify kidney yang, restore flexibility.","LV-3 (Taichong), GB-34 (Yanglingquan), KI-3 (Taixi), DU-4 (Mingmen), LV-14 (Qimen), ST-36 (Zusanli)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus flexibility training
What helps patients resistant to new perspectives?,"Liver Qi Stagnation with Heart-Kidney Disconnection. Perspective resistance shows constrained flow with closed heart-mind. Soothe liver, connect heart-kidney, open to new ideas.","LV-3 (Taichong), HT-7 (Shenmen), KI-3 (Taixi), PC-6 (Neiguan), DU-20 (Baihui), GB-34 (Yanglingquan)",Xiao Yao San (Free and Easy Wanderer) plus Gui Pi Tang plus openness practice
How to treat fear of stepping outside comfort zone?,"Kidney Yang Deficiency with Liver Qi Stagnation and Heart-Gallbladder Deficiency. Comfort zone fear shows depleted risk energy with constrained courage. Tonify kidney-heart-gallbladder, soothe liver, embrace expansion.","KI-3 (Taixi), HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), DU-4 (Mingmen), PC-6 (Neiguan)",You Gui Wan (Restore Right Kidney) plus Wen Dan Tang plus expansion work
What TCM approach supports embracing challenges?,"Kidney Yang with Liver Qi and Heart-Gallbladder Tonification. Challenge embrace requires transformative yang, smooth flow, and courage. Tonify kidney yang-heart-gallbladder, soothe liver, welcome challenges.","KI-3 (Taixi), LV-3 (Taichong), HT-7 (Shenmen), GB-34 (Yanglingquan), DU-4 (Mingmen), ST-36 (Zusanli)",You Gui Wan (Restore Right Kidney) plus Wen Dan Tang plus challenge embrace
How does TCM help shift from fixed to growth mindset?,"Liver Qi Movement with Kidney Yang Tonification. Fixed to growth mindset shift requires moving stagnation and building transformation. Soothe liver deeply, tonify kidney yang powerfully, reprogram mindset.","LV-3 (Taichong), KI-3 (Taixi), DU-4 (Mingmen), HT-7 (Shenmen), GB-34 (Yanglingquan), DU-20 (Baihui)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus mindset reprogramming
What helps cultivate curiosity and lifelong learning attitude?,"Heart-Kidney Connection with Liver Qi Smoothness. Curiosity requires open heart-mind with smooth exploratory flow. Connect heart-kidney, soothe liver, tonify kidney essence, cultivate wonder.","HT-7 (Shenmen), KI-3 (Taixi), LV-3 (Taichong), DU-20 (Baihui), GB-39 (Xuanzhong), Sishencong",Gui Pi Tang (Restore Spleen) plus Jin Gui Shen Qi Wan plus curiosity cultivation
