Question_ID,Question,Answer,Acupuncture_Points,Pharmacopeia_Formula
Q081,What distinguishes Eczema (Atopic Dermatitis) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Damp-Heat in Spleen pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP10 (Xuehai), SP6 (Sanyinjiao), ST36 (Zusanli)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q082,What distinguishes Eczema (Chronic) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Blood Deficiency with Wind-Dryness pattern, requiring specific treatment with points like SP10 (Xuehai).","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), ST36 (Zusanli)",Si Wu Tang (Four Substance Decoction) modified
Q083,What distinguishes Psoriasis from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Blood-Heat with Toxins pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), BL40 (Weizhong)",Liang Xue Wu Gen Tang (Cool Blood Five Roots Decoction)
Q084,What distinguishes Acne (Inflammatory) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Lung-Heat with Damp pattern, requiring specific treatment with points like LI4 (Hegu).","LI4 (Hegu), LI11 (Quchi), LU7 (Lieque), ST36 (Zusanli)",Pi Pa Qing Fei Yin (Loquat Clear Lung Decoction)
Q085,What distinguishes Acne (Hormonal) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Liver-Qi Stagnation pattern, requiring specific treatment with points like LR3 (Taichong).","LR3 (Taichong), GB34 (Yanglingquan), LI4 (Hegu), SP6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) modified
Q086,What distinguishes Urticaria (Acute) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Wind-Heat invasion pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP10 (Xuehai), GV14 (Dazhui), LI4 (Hegu)",Xiao Feng San (Eliminate Wind Powder)
Q087,What distinguishes Urticaria (Chronic) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Qi and Blood Deficiency pattern, requiring specific treatment with points like SP10 (Xuehai).","SP10 (Xuehai), ST36 (Zusanli), BL17 (Geshu), CV6 (Qihai)",Dang Gui Yin Zi (Tangkuei Drink)
Q088,What distinguishes Rosacea from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Lung-Heat with Blood Stasis pattern, requiring specific treatment with points like LI20 (Yingxiang).","LI20 (Yingxiang), LI4 (Hegu), ST2 (Sibai), LU7 (Lieque)",Liang Xue Si Wu Tang (Cool Blood Four Substance Decoction)
Q089,What distinguishes Vitiligo from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Liver-Kidney Yin Deficiency pattern, requiring specific treatment with points like BL18 (Ganshu).","BL18 (Ganshu), BL23 (Shenshu), SP6 (Sanyinjiao), KI3 (Taixi)",Liu Wei Di Huang Wan (Six Ingredient Rehmannia Pill) modified
Q090,What distinguishes Seborrheic Dermatitis from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Spleen-Stomach Damp-Heat pattern, requiring specific treatment with points like ST36 (Zusanli).","ST36 (Zusanli), SP9 (Yinlingquan), LI11 (Quchi), SP6 (Sanyinjiao)",Yin Chen Wu Ling San (Artemisia Capillaris Five Ling Powder)
Q091,What distinguishes Contact Dermatitis from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Wind-Heat-Damp pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), SP9 (Yinlingquan)",Xiao Feng San (Eliminate Wind Powder)
Q092,What distinguishes Herpes Zoster (Shingles) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Liver-Fire with Damp-Heat pattern, requiring specific treatment with points like GB34 (Yanglingquan).","GB34 (Yanglingquan), LI11 (Quchi), SP10 (Xuehai), LR2 (Xingjian)",Long Dan Xie Gan Tang (Gentiana Drain Liver Decoction)
Q093,What distinguishes Alopecia Areata from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Liver-Blood Deficiency pattern, requiring specific treatment with points like BL18 (Ganshu).","BL18 (Ganshu), GB20 (Fengchi), GV20 (Baihui), BL17 (Geshu)",Shen Ying Yang Zhen Dan (Spirit Response Nourish Vitality Pill)
Q094,What distinguishes Melasma from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Liver-Qi Stagnation with Blood Stasis pattern, requiring specific treatment with points like LR3 (Taichong).","LR3 (Taichong), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Tao Hong Si Wu Tang (Persica & Carthamus Four Substance Decoction)
Q095,What distinguishes Warts from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Exterior Wind with Toxic-Heat pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP9 (Yinlingquan), LI4 (Hegu), local ah-shi points",Ma Chi Xian He Ji (Purslane Combination)
Q096,What distinguishes Furuncles (Boils) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Toxic-Heat in Blood pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), SP10 (Xuehai), LI4 (Hegu), ST36 (Zusanli)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
Q097,What distinguishes Cellulitis from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Heat-Toxin invasion pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), ST36 (Zusanli), SP6 (Sanyinjiao), local points",Huang Lian Jie Du Tang (Coptis Relieve Toxin Decoction)
Q098,What distinguishes Pruritus (Itching) from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Blood Deficiency with Wind pattern, requiring specific treatment with points like SP10 (Xuehai).","SP10 (Xuehai), BL17 (Geshu), LI11 (Quchi), GV14 (Dazhui)",Dang Gui Yin Zi (Tangkuei Drink)
Q099,What distinguishes Dyshidrotic Eczema from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Spleen Deficiency with Damp-Heat pattern, requiring specific treatment with points like SP6 (Sanyinjiao).","SP6 (Sanyinjiao), SP9 (Yinlingquan), LI11 (Quchi), ST36 (Zusanli)",Chu Shi Wei Ling Tang (Eliminate Dampness Stomach-Spleen Decoction)
Q100,What distinguishes Folliculitis from other skin conditions in TCM diagnosis?,"The key distinguishing feature is the Damp-Heat with Toxins pattern, requiring specific treatment with points like LI11 (Quchi).","LI11 (Quchi), ST36 (Zusanli), SP10 (Xuehai), LI4 (Hegu)",Wu Wei Xiao Du Yin (Five Ingredient Eliminate Toxin Decoction)
