id,formula_name_pinyin,formula_name_english,main_indication_short,Enhanced_Nutrition_Modern_Diets
55,Xie Bai San,Drain the White Powder,Lung Heat with cough and wheeze in children or weak patients.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
56,Huang Lian Jie Du Tang,Coptis Decoction to Relieve Toxicity,Intense Heat and fire toxin in all three burners.,"🥒 Cooling vegetables (cucumber, celery, lettuce, bok choy), Watermelon, Pear, Asian pear, Mung beans, Tofu | 🍵 Chrysanthemum tea, Mint tea, Green tea | 🌿 Cilantro, Watercress | Avoid: Spicy foods, fried foods, alcohol, red meat, lamb, shrimp, coffee, chocolate | 🥄 Diet: Vegan/Vegetarian (ideal during treatment), Raw vegan (short-term), Macrobiotic, Cooling foods focus"
57,Lian Po Yin,Coptis and Magnolia Bark Drink,Damp-Heat in Stomach and intestines causing diarrhea and nausea.,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
58,Wu Ling San,Five-Ingredient Powder with Poria,Water-Damp accumulation with edema and urinary difficulty.,"🌾 Job's tears (yi yi ren), Adzuki beans, Winter melon, Celery, Asparagus, Parsley | 🍵 Dandelion tea, Corn silk tea | Avoid: Excess salt/sodium, dairy, cold drinks, raw foods (if Yang deficiency), processed foods, canned foods | 🥄 Diet: Low-sodium, DASH diet, Non-dairy, Plant-based (cooked); Temporarily reduce fluid intake in evening"
59,Zhu Ling Tang,Polyporus Decoction,"Interior Water and Heat with urinary difficulty, possible Yin injury.","🌾 Job's tears (yi yi ren), Adzuki beans, Winter melon, Celery, Asparagus, Parsley | 🍵 Dandelion tea, Corn silk tea | Avoid: Excess salt/sodium, dairy, cold drinks, raw foods (if Yang deficiency), processed foods, canned foods | 🥄 Diet: Low-sodium, DASH diet, Non-dairy, Plant-based (cooked); Temporarily reduce fluid intake in evening"
60,Wu Pi San,Five-Peel Powder,"Skin-level edema, Dampness and Qi stagnation.","🌾 Job's tears (yi yi ren), Adzuki beans, Winter melon, Celery, Asparagus, Parsley | 🍵 Dandelion tea, Corn silk tea | Avoid: Excess salt/sodium, dairy, cold drinks, raw foods (if Yang deficiency), processed foods, canned foods | 🥄 Diet: Low-sodium, DASH diet, Non-dairy, Plant-based (cooked); Temporarily reduce fluid intake in evening"
61,Ba Zheng San,Eight-Herb Powder for Rectification,"Damp-Heat in lower burner, urinary pain and infection-type patterns.","🥩 Grass-fed red meat, Liver, Bone marrow broth, Dark leafy greens (spinach, chard), Beets, Blackstrap molasses, Eggs, Organic poultry | 🐟 Sardines, salmon | 🫘 Black beans, lentils | Avoid: Iced drinks, raw foods | 🥄 Diet: Omnivore/Paleo (best), Pescatarian (good), Iron-rich Mediterranean; Challenging for: Vegan (needs B12/iron supplements)"
62,Zhen Wu Tang,True Warrior Decoction,Kidney and Spleen Yang deficiency with edema and cold limbs.,"🌾 Job's tears (yi yi ren), Adzuki beans, Winter melon, Celery, Asparagus, Parsley | 🍵 Dandelion tea, Corn silk tea | Avoid: Excess salt/sodium, dairy, cold drinks, raw foods (if Yang deficiency), processed foods, canned foods | 🥄 Diet: Low-sodium, DASH diet, Non-dairy, Plant-based (cooked); Temporarily reduce fluid intake in evening"
63,Ling Gui Zhu Gan Tang,"Poria, Cinnamon Twig, Atractylodes and Licorice Decoction",Phlegm-Fluid retention with dizziness and palpitations.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
64,Si Ni Tang,Frigid Extremities Decoction,Yang collapse with cold extremities and diarrhea.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
65,Si Ni San,Frigid Extremities Powder,Liver Qi stagnation with cold extremities from internal constraint.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
66,Da Chai Hu Tang,Major Bupleurum Decoction,Shaoyang/Yangming combined disorders with alternating chills/fever and constipation.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
67,Xiao Chai Hu Tang,Minor Bupleurum Decoction,Shaoyang pattern with alternating chills/fever and chest/hypochondriac discomfort.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
68,Ban Xia Xie Xin Tang,Pinellia Decoction to Drain the Epigastrium,Clumping of Cold and Heat in epigastrium with mixed symptoms.,"🥬 Well-cooked vegetables, Ginger, Mint, Fennel, Radish (daikon), Papaya, Pineapple (enzymes) | 🍵 Digestive teas (peppermint, ginger, fennel) | 🥣 Rice porridge, Miso soup | Avoid: Overeating, greasy/fried foods, cold drinks, raw foods (temporarily), dairy, alcohol, processed foods | 🥄 Diet: Simple cooked foods, Small frequent meals, FODMAP (if IBS), Easily digestible; Temporary simplification"
69,Li Zhong Wan,Regulate the Middle Pill,Middle burner Cold from deficiency with diarrhea and cold limbs.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
70,Xiao Jian Zhong Tang,Minor Construct the Middle Decoction,Deficiency Cold of middle burner with spasmodic abdominal pain.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
71,Da Jian Zhong Tang,Major Construct the Middle Decoction,Severe middle burner Cold with intense abdominal pain.,"🍚 Cooked warm foods, Sweet potato, Rice congee, Chicken soup, Bone broth | 🥬 Well-cooked vegetables | 🍖 Easy-to-digest proteins | Avoid: Raw/cold foods, dairy, ice cream, excessive sweets | 🥄 Diet: Omnivore (best), Paleo (good), AIP; Poor for: Raw vegan, Keto (too dry), Cold foods"
72,Si Shen Wan,Four-Miracle Pill,Kidney/Spleen Yang deficiency with early-morning diarrhea.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
73,Shen Tong Zhu Yu Tang,Drive Out Blood Stasis from a Painful Body Decoction,Blood stasis in channels with body-wide pain.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
74,Du Huo Ji Sheng Tang,Angelica Pubescens and Sangjisheng Decoction,Chronic Wind-Cold-Damp Bi with Liver/Kidney deficiency in elderly.,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
75,Juan Bi Tang,Remove Painful Obstruction Decoction,Wind-Cold-Damp Bi with Qi and Blood deficiency.,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
76,Gui Zhi Shao Yao Zhi Mu Tang,"Cinnamon Twig, Peony and Anemarrhena Decoction",Wind-Damp Bi with Heat in joints (rheumatic-type).,"🐟 Wild fatty fish (salmon, sardines, mackerel) - anti-inflammatory omega-3, Turmeric + black pepper, Ginger, Tart cherries | 🥬 Dark leafy greens, Broccoli, Brussels sprouts | 🫒 Extra virgin olive oil, Avocado | 🫐 Berries (antioxidants) | Avoid: Nightshades (tomatoes, peppers, eggplant, potatoes), dairy, gluten, sugar, processed foods, red meat, alcohol | 🥄 Diet: AIP (Autoimmune Protocol) - best, Mediterranean anti-inflammatory, Pescatarian, Paleo (modified)"
77,Tian Ma Gou Teng Yin,Gastrodia and Uncaria Decoction,Liver Yang rising with internal Wind causing dizziness and hypertension-type signs.,"🥬 Celery, Spinach, Swiss chard, Seaweed, Black fungus (wood ear) | 🍵 Chrysanthemum tea, Hawthorn tea | 🌰 Walnuts, Black sesame, Flax seeds | 🐟 Wild fish | Avoid: Alcohol, spicy foods, excess salt, coffee, energy drinks, MSG | 🥄 Diet: DASH (best for hypertension), Mediterranean, Plant-based with fish, Low-sodium; Focus on calming foods"
78,Zhen Gan Xi Feng Tang,Sedate the Liver and Extinguish Wind Decoction,"Liver Wind from Liver/Kidney Yin deficiency with internal movement, severe dizziness.","🥬 Celery, Spinach, Swiss chard, Seaweed, Black fungus (wood ear) | 🍵 Chrysanthemum tea, Hawthorn tea | 🌰 Walnuts, Black sesame, Flax seeds | 🐟 Wild fish | Avoid: Alcohol, spicy foods, excess salt, coffee, energy drinks, MSG | 🥄 Diet: DASH (best for hypertension), Mediterranean, Plant-based with fish, Low-sodium; Focus on calming foods"
79,Ban Xia Hou Po Tang,Pinellia and Magnolia Bark Decoction,Plum-pit Qi sensation from Qi stagnation and Phlegm.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
80,Chuan Xiong Cha Tiao San,Ligusticum Chuanxiong Powder to be Taken with Green Tea,Wind-type headaches affecting different channels.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
81,Yu Ping Feng San,Jade Windscreen Powder,Defensive Qi deficiency with frequent colds and spontaneous sweating.,"🍄 Medicinal mushrooms (reishi, shiitake, maitake, lion's mane), Bone broth, Ginger, Garlic, Onions, Astragalus (food use) | 🥬 Colorful vegetables (all colors), Fermented foods (kimchi, sauerkraut) | 🐝 Bee pollen, Royal jelly, Propolis | Avoid: Excess sugar, processed foods, alcohol, trans fats | 🥄 Diet: Whole foods omnivore (best), Paleo, Mediterranean, Immune-supportive with variety"
82,Jin Gui Shen Qi Wan,Kidney Qi Pill from Golden Cabinet,Classic Kidney Yang deficiency with edema and urinary problems.,"🥩 Lamb, Venison, Grass-fed beef, Bone broth with marrow, Organic chicken | 🦐 Shrimp, Mussels, Clams | 🌰 Walnuts, Chestnuts, Pine nuts | 🧄 Garlic, Ginger, Cinnamon, Clove | Avoid: Raw/cold foods, iced drinks, tropical fruits | 🥄 Diet: Carnivore (short-term), Paleo (best), Omnivore with warming foods; Not suitable for: Vegan/Raw diets (too cooling)"
83,Sheng Mai San,Generate the Pulse Powder,Qi and Yin deficiency of Lung and Heart with weak pulse and sweating.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
84,Mai Men Dong Tang,Ophiopogonis Decoction,Lung and Stomach Yin deficiency with dry cough and thirst.,"🍐 Pear (Asian pear best), Lily bulb, White fungus (tremella), Honey (raw), Almonds, Sesame seeds | 🥣 Congee (rice porridge) | 🥛 Almond milk, Soy milk | 🫖 Marshmallow root tea | Avoid: Spicy foods, fried foods, drying foods (excess salt), alcohol, smoking | 🥄 Diet: Vegetarian/Vegan (excellent), Macrobiotic, Whole-food plant-based; Focus on moistening foods"
85,Zi Su Ye Tang (simple),Perilla Leaf Decoction,Mild Wind-Cold affecting Lung with nausea in pregnancy-type situations (traditional caution).,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
86,Qing Qi Hua Tan Wan,Clear the Qi and Transform Phlegm Pill,Phlegm-Heat in Lungs with cough and thick sputum.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
87,Bei Mu Gua Lou San,Fritillaria and Trichosanthes Fruit Powder,Dry Phlegm in Lungs with hard to expectorate sputum.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
88,Run Chang Wan,Moisten the Intestines Pill,Dry constipation from Blood and Yin deficiency.,"🥬 High-fiber vegetables (leafy greens, broccoli), Prunes, Figs, Flax seeds, Chia seeds, Psyllium husk, Sesame seeds, Hemp seeds | 💧 Adequate hydration (8+ glasses water) | 🥑 Healthy fats (avocado, olive oil, coconut oil) | 🍠 Sweet potato | Avoid: Refined grains, excess cheese/dairy, low-fiber foods, dehydration | 🥄 Diet: High-fiber vegan/vegetarian (ideal), Mediterranean, Whole-food plant-based; Increase to 30-40g fiber daily"
89,Ma Zi Ren Wan,Hemp Seed Pill,Constipation from Heat dryness with depleted fluids.,"🥬 High-fiber vegetables (leafy greens, broccoli), Prunes, Figs, Flax seeds, Chia seeds, Psyllium husk, Sesame seeds, Hemp seeds | 💧 Adequate hydration (8+ glasses water) | 🥑 Healthy fats (avocado, olive oil, coconut oil) | 🍠 Sweet potato | Avoid: Refined grains, excess cheese/dairy, low-fiber foods, dehydration | 🥄 Diet: High-fiber vegan/vegetarian (ideal), Mediterranean, Whole-food plant-based; Increase to 30-40g fiber daily"
90,Zuo Jin Wan,Left Metal Pill,Liver Fire attacking Stomach causing acid reflux and burning pain.,"🥔 Sweet potato, Oats, Bananas, Melons, Leafy greens (not raw), Fennel, Ginger (small amounts) | 🥣 Non-acidic soups | Avoid: Spicy foods, fried foods, citrus, tomatoes, onions (raw), garlic (raw), caffeine, alcohol, chocolate, mint, carbonated drinks | 🥄 Diet: Low-acid alkaline diet, GERD-friendly, Small frequent meals; Avoid: High-acid foods, large meals before bed"
91,Ping Gan Kang Xue Fang (modern),Calm Liver and Lower Blood Pressure Formula,Modern combination for Liver Yang rising/hypertension patterns (clinic use).,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
92,An Shen Ding Zhi Wan,Calm the Spirit and Settle the Will Pill,Heart and Gallbladder Qi deficiency with anxiety and timidity.,"🌾 Whole grains (oats, wheat berries, brown rice), Dates, Longan fruit, Lily bulb, Lotus seed, Jujube | 🥛 Warm milk with honey (if tolerated) | 🌰 Almonds, Walnuts | 🫖 Chamomile tea, Passionflower tea | Avoid: Caffeine, alcohol, stimulants, energy drinks, excessive sugar | 🥄 Diet: Mediterranean, Vegetarian, Whole-food plant-based, Flexitarian; All diets adaptable - focus on calming foods"
93,Chai Hu Jia Long Gu Mu Li Tang,Bupleurum Decoction with Dragon Bone and Oyster Shell,"Constraint with phlegm and Yang agitation, anxiety/insomnia.","🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
94,Gan Lu Xiao Du Dan,Sweet Dew Special Pill to Eliminate Toxin,Damp-Heat epidemic-type disorders affecting upper burner (modern infectious patterns).,"🥬 Bitter greens (dandelion, endive), Celery, Cucumber, Mung beans, Adzuki beans, Barley, Job's tears, Winter melon | 🫖 Green tea, Corn silk tea | Avoid: Dairy (all types), sugar, alcohol, greasy/fried foods, shellfish, spicy foods, tropical fruits, wheat | 🥄 Diet: Vegan/Vegetarian (best), Grain-free (avoid gluten), Non-dairy essential, Low-glycemic; Incompatible with: Dairy-heavy diets"
95,Qing Hao Bie Jia Tang,Sweet Wormwood and Turtle Shell Decoction,Yin deficiency Heat with night fever and morning coolness.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
96,Dang Gui Liu Huang Tang,Tangkuei and Six-Yellow Decoction,Severe Yin deficiency Heat with night sweats and irritability.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
97,Yi Guan Jian,Linking Decoction,Liver and Kidney Yin deficiency with Liver Qi stagnation and hypochondriac pain.,"🐟 Wild fish, Oysters, Seaweed (nori, kombu), Black sesame, Black beans, Black rice, Eggs, Bone marrow | 🥣 Miso soup | 🌱 Vegan options: Walnuts, goji berries, mulberries | 🥛 Almond milk | Avoid: Spicy, fried, alcohol, coffee, excess salt | 🥄 Diet: Mediterranean (best), Pescatarian (excellent), Omnivore, Plant-based (with seeds/nuts); All diets adaptable"
98,Xiao Feng San,Eliminate Wind Powder,Wind-Damp-Heat in skin with intense itching and rashes.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
99,Gui Zhi Jia Long Gu Mu Li Tang,Cinnamon Twig Decoction plus Dragon Bone and Oyster Shell,"Loss of restraint of essence and spirit (seminal emission, palpitations, insomnia).","🐟 Omega-3 rich fish (brain health), Walnuts, Flax seeds | 🥬 Dark leafy greens (folate), Fermented foods (gut-brain axis) | 🫐 Berries (antioxidants) | 🥚 Eggs (choline, B12) | ☀️ Vitamin D foods (mushrooms, fortified foods) | Avoid: Refined sugar, alcohol, caffeine (excess), processed foods, trans fats | 🥄 Diet: Mediterranean (best for mood), MIND diet (best for brain), Whole-food plant-based, Anti-inflammatory, Probiotic-rich; Gut health focus"
100,Yuan Zhi Wan (simple),Polygala Pill,Mild Heart and Kidney disharmony with forgetfulness and anxiety (simple modern use).,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
101,Si Wu Xiang Fu Tang,Four Substances with Cyperus,Blood deficiency with Liver Qi stagnation causing irregular menses and mood swings.,"🥬 Dark leafy greens, Brassicas (broccoli, Brussels sprouts, cabbage, kale), Beets, Artichoke, Celery | 🍋 Lemon water (morning), Citrus peel | 🍵 Mint tea, Rose tea, Chrysanthemum | 🫒 Olive oil | Avoid: Alcohol, coffee (excess), heavy fatty meals, processed foods | 🥄 Diet: Mediterranean (best), Vegan/Vegetarian (excellent), Flexitarian, Omnivore; All diets suitable with emphasis on vegetables"
102,Dang Gui Yin Zi,Tangkuei Drink,Blood deficiency with Wind causing dry itchy skin and pale complexion.,"🥬 Dark leafy greens, Cucumbers, Mung beans, Pearl barley, Burdock root, Sweet potato | 🐟 Wild omega-3 fish (if not allergic) | 🫐 Antioxidant berries | Avoid: Shellfish, dairy, gluten, sugar, alcohol, spicy foods, nightshades, processed foods, food additives | 🥄 Diet: Elimination diet (recommended), AIP, Non-dairy vegan, Hypoallergenic, Whole30; May need to identify food triggers"
103,Fu Ke Tiao Jing Fang,Gynecology Regulate Menses Formula,Modern formula for menstrual irregularity with mixed patterns.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
104,Yi Mu Cao Gao,Leonurus Paste,Blood stasis causing painful menses and postpartum abdominal pain.,"🌶️ Turmeric (curcumin), Ginger, Garlic, Onions, Dark berries (blueberries, blackberries), Tart cherries | 🐟 Omega-3 rich fish (wild salmon, mackerel, sardines) | 🥬 Beets, Dark leafy greens, Eggplant | 🫒 Extra virgin olive oil, Flax oil | Avoid: Saturated fats, trans fats, excess salt, processed meats | 🥄 Diet: Mediterranean (best), Anti-inflammatory, Pescatarian, Whole30, Paleo; Compatible with most diets"
105,Sheng Hua Tang,Generating and Transforming Decoction,Postpartum Blood stasis with retained lochia and abdominal pain.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
106,Jia Wei Wu Yao Tang,Augmented Lindera Decoction,Cold stagnation in lower abdomen with painful menses.,"🥗 Balanced whole foods diet emphasizing vegetables, quality proteins, healthy fats, complex carbs | 🌈 Eat rainbow of colors | 🥬 Vegetables (50% plate), Whole grains, Quality proteins | 🫒 Healthy fats | Avoid: Processed foods, excess sugar, trans fats, artificial additives | 🥄 Diet: Mediterranean (best overall), Flexitarian, Whole-food plant-based, Omnivore with emphasis on plants; Follow TCM dietary principles for your constitution"
107,An Chong Tang,Calm the Womb Decoction,Spleen Qi deficiency with Liver Heat causing threatened miscarriage.,"🥩 Organic grass-fed meats (if eating meat), Pasture-raised eggs, Organic poultry | 🥬 Dark leafy greens (cooked), Beets, Black beans, Black sesame | 🐟 Wild salmon, Sardines | 🌰 Walnuts, Almonds | 🫖 Red raspberry leaf tea, Nettle tea | Avoid: Cold/raw foods, excess dairy, iced drinks, processed foods, soy (if estrogen dominant) | 🥄 Diet: Hormone-balancing omnivore, Paleo for women, Pescatarian; Focus on warm nourishing foods"
