id,wellness_issue,patient_question,clinic_answer,tcm_focus_area,professional_acupuncture_points
1,Neck and shoulder pain,My neck and shoulders are always tight and painful. Can acupuncture help?,"Neck and shoulder pain often responds to acupuncture and TCM by improving circulation, relaxing muscles, and reducing inflammation over a course of treatments.",Bi syndrome; Qi and Blood stagnation in channels,"GB20 (Fengchi), GB21 (Jianjing), SI3 (Houxi), BL10 (Tianzhu), LI4 (Hegu), SI11 (Tianzong), Ashi points"
166,Wellness issue 166,This is a sample patient question about wellness issue 166. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
167,Wellness issue 167,This is a sample patient question about wellness issue 167. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
168,Wellness issue 168,This is a sample patient question about wellness issue 168. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
169,Wellness issue 169,This is a sample patient question about wellness issue 169. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
170,Wellness issue 170,This is a sample patient question about wellness issue 170. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
171,Wellness issue 171,This is a sample patient question about wellness issue 171. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
172,Wellness issue 172,This is a sample patient question about wellness issue 172. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
173,Wellness issue 173,This is a sample patient question about wellness issue 173. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
174,Wellness issue 174,This is a sample patient question about wellness issue 174. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
175,Wellness issue 175,This is a sample patient question about wellness issue 175. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
176,Wellness issue 176,This is a sample patient question about wellness issue 176. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
177,Wellness issue 177,This is a sample patient question about wellness issue 177. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
178,Wellness issue 178,This is a sample patient question about wellness issue 178. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
179,Wellness issue 179,This is a sample patient question about wellness issue 179. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
180,Wellness issue 180,This is a sample patient question about wellness issue 180. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
181,Wellness issue 181,This is a sample patient question about wellness issue 181. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
182,Wellness issue 182,This is a sample patient question about wellness issue 182. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
183,Wellness issue 183,This is a sample patient question about wellness issue 183. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
184,Wellness issue 184,This is a sample patient question about wellness issue 184. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
185,Wellness issue 185,This is a sample patient question about wellness issue 185. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
186,Wellness issue 186,This is a sample patient question about wellness issue 186. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
187,Wellness issue 187,This is a sample patient question about wellness issue 187. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
188,Wellness issue 188,This is a sample patient question about wellness issue 188. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
189,Wellness issue 189,This is a sample patient question about wellness issue 189. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
190,Wellness issue 190,This is a sample patient question about wellness issue 190. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
191,Wellness issue 191,This is a sample patient question about wellness issue 191. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
192,Wellness issue 192,This is a sample patient question about wellness issue 192. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
193,Wellness issue 193,This is a sample patient question about wellness issue 193. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
194,Wellness issue 194,This is a sample patient question about wellness issue 194. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
195,Wellness issue 195,This is a sample patient question about wellness issue 195. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
196,Wellness issue 196,This is a sample patient question about wellness issue 196. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
197,Wellness issue 197,This is a sample patient question about wellness issue 197. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
198,Wellness issue 198,This is a sample patient question about wellness issue 198. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
199,Wellness issue 199,This is a sample patient question about wellness issue 199. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
200,Wellness issue 200,This is a sample patient question about wellness issue 200. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
201,Wellness issue 201,This is a sample patient question about wellness issue 201. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
202,Wellness issue 202,This is a sample patient question about wellness issue 202. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
203,Wellness issue 203,This is a sample patient question about wellness issue 203. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
204,Wellness issue 204,This is a sample patient question about wellness issue 204. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
205,Wellness issue 205,This is a sample patient question about wellness issue 205. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
206,Wellness issue 206,This is a sample patient question about wellness issue 206. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
207,Wellness issue 207,This is a sample patient question about wellness issue 207. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
208,Wellness issue 208,This is a sample patient question about wellness issue 208. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
209,Wellness issue 209,This is a sample patient question about wellness issue 209. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
210,Wellness issue 210,This is a sample patient question about wellness issue 210. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
211,Wellness issue 211,This is a sample patient question about wellness issue 211. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
212,Wellness issue 212,This is a sample patient question about wellness issue 212. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
213,Wellness issue 213,This is a sample patient question about wellness issue 213. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
214,Wellness issue 214,This is a sample patient question about wellness issue 214. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
215,Wellness issue 215,This is a sample patient question about wellness issue 215. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
216,Wellness issue 216,This is a sample patient question about wellness issue 216. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
217,Wellness issue 217,This is a sample patient question about wellness issue 217. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
218,Wellness issue 218,This is a sample patient question about wellness issue 218. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
219,Wellness issue 219,This is a sample patient question about wellness issue 219. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
220,Wellness issue 220,This is a sample patient question about wellness issue 220. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
221,Wellness issue 221,This is a sample patient question about wellness issue 221. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
222,Wellness issue 222,This is a sample patient question about wellness issue 222. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
223,Wellness issue 223,This is a sample patient question about wellness issue 223. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
224,Wellness issue 224,This is a sample patient question about wellness issue 224. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
225,Wellness issue 225,This is a sample patient question about wellness issue 225. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
226,Wellness issue 226,This is a sample patient question about wellness issue 226. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
227,Wellness issue 227,This is a sample patient question about wellness issue 227. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
228,Wellness issue 228,This is a sample patient question about wellness issue 228. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
229,Wellness issue 229,This is a sample patient question about wellness issue 229. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
230,Wellness issue 230,This is a sample patient question about wellness issue 230. How can TCM help?,"TCM assessment is individualized; the therapist would take a full history and tongue-pulse reading, then design a treatment plan combining acupuncture, lifestyle advice, and where appropriate herbal support.",Pattern differentiation according to TCM principles,"ST36 (Zusanli), LI4 (Hegu), SP6 (Sanyinjiao), LV3 (Taichong), PC6 (Neiguan), GV20 (Baihui) - Foundational wellness protocol; individualize based on diagnosis"
